name,reviews.title,reviews.text,reviews.rating,Sentiment_Score,match,Sentiment_Category
Bogle Vineyards174 Chardonnay - 750ml Bottle,delicious,"['wine', 'fullbodi', 'delici']",5.0,0.0,True,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,Best price,"['favorit', 'mix', 'drink', 'whiskey', 'sam', 'best', 'price', 'handl', 'well', 'buy']",5.0,0.743,True,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,Great product,"['best', 'whiskey', 'around', 'price', 'cant', 'beat']",5.0,0.6369,True,1
El Jimador174 Tequila Reposado - 750ml Bottle,Love,"['alway', 'buy', 'item', 'walmart', 'caus', 'alway', 'great', 'price']",5.0,0.6249,True,1
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,seagrams escapes,"['love', 'flavor', 'buy', 'great', 'summer', 'drink']",5.0,0.8519,True,1
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,Variety Value,"['bought', 'pack', 'whim', 'im', 'glad', 'varieti', 'drink', 'great', 'price', 'even', 'le', 'discount', 'liquor', 'store', 'ill', 'definit', 'get']",4.0,0.6486,True,1
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,Tasty if you can find it,"['realli', 'enjoy', 'sam', 'like', 'send', 'wild', 'goos', 'chase', 'say', 'avail', 'none', 'found', 'even', 'empti', 'pallet']",5.0,0.6908,True,1
Heineken174 Lager - 12pk / 12oz Bottles,Fresh and cheap,"['fresh', 'cheaper', 'anywher', 'area']",5.0,0.3182,True,1
Heineken174 Lager - 12pk / 12oz Bottles,Great beer!,"['bought', 'best', 'price', 'great', 'conveni', 'order', 'onlin', 'pick', 'store', 'great', 'job', 'super', 'easi']",5.0,0.9538,True,1
Heineken174 Lager - 12pk / 12oz Bottles,a crowd pleaer,"['made', 'parti', 'special', 'everyon', 'pleas', 'choic', 'drink']",5.0,0.4019,True,1
Michelob174 Ultra Beer - 24pk / 12oz Cans,Bottle are better,"['happi', 'carri', 'can', 'bottl', 'much', 'better', 'bring', 'back', 'pleas']",1.0,0.4404,False,1
Heineken174 Lager - 6pk / 12oz Bottles,Fresh and cheap,"['fresh', 'cheaper', 'anywher', 'area']",5.0,0.3182,True,1
Heineken174 Lager - 6pk / 12oz Bottles,Great beer!,"['bought', 'best', 'price', 'great', 'conveni', 'order', 'onlin', 'pick', 'store', 'great', 'job', 'super', 'easi']",5.0,0.9538,True,1
Heineken174 Lager - 6pk / 12oz Bottles,a crowd pleaer,"['made', 'parti', 'special', 'everyon', 'pleas', 'choic', 'drink']",5.0,0.4019,True,1
Wild174 Blue Premium Blueberry Lager - 6pk / 12oz Bottles,Awesome Taste,"['great', 'valu', 'awesom', 'tast', 'cant', 'beat']",5.0,0.6249,True,1
Riunite174 Lambrusco - 1.5l Bottle Bottle,Good Wine/ Good Price,"['wine', 'tast', 'realli', 'good', 'love', 'soft', 'flavor', 'buy']",5.0,0.7964,True,1
Riunite174 Lambrusco - 1.5l Bottle Bottle,The Best,"['wine', 'wonder', 'club', 'price', 'isnt', 'rosa', 'one', 'carri', 'sam']",5.0,0.0,True,1
Riunite174 Lambrusco - 1.5l Bottle Bottle,Great wine,"['wine', 'amaz', 'sweet', 'bitter', 'great', 'inexpens', 'wine']",5.0,0.6486,True,1
Zatarain's174 Root Beer Extract Bottle - 4 Floz,great!,['great'],5.0,0.6249,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",Good stuff!,"['realli', 'tasti', 'easi', 'make', 'one', 'ingredi', 'add', 'problem', 'good', 'easi', 'drink', 'much', 'especi', 'like', 'frozen']",5.0,0.4019,True,1
"Master of Mixes Big Bucket Premium Margarita Mixer, 96 fl oz",great for small groups,"['love', 'product']",5.0,0.6369,True,1
